INSPECTION_ID,INSPECTION_DATE,INSPECTION_METHOD,INSPECTION_REPORT_DATE,INSPECTION_NOTES,NUM_INSPECTION,NUM_POI,POI_ID_1,POI_COUNTY_1,POI_SOURCE_1,POI_TRIBUTARY_TO_1,POI_LATITUDE_1,POI_LONGITUDE_1,POI_DESCRIPTION_1,PRIMARY_POI_1,POI_ID_2,POI_COUNTY_2,POI_SOURCE_2,POI_TRIBUTARY_TO_2,POI_LATITUDE_2,POI_LONGITUDE_2,POI_DESCRIPTION_2,PRIMARY_POI_2,POI_ID_3,POI_COUNTY_3,POI_SOURCE_3,POI_TRIBUTARY_TO_3,POI_LATITUDE_3,POI_LONGITUDE_3,POI_DESCRIPTION_3,PRIMARY_POI_3,INVESTIGATION_ID,INVESTIGATION_TYPE,INVESTIGATION_START_DATE,INVESTIGATION_CLOSURE_DATE,NUM_OF_VIOLATIONS,ENF_CASE_NUMBER,ENFOCEMENT_ACTION_TYPE,ENF_CASE_CLOSURE_DATE,INVESTIGATION_LEAD_STAFF,INVEST_SECTION_OR_OFFICE,INVESTIGATION_SWEEP,RESOURCE_VALUE_PRIORITY,INVESTIGATION_SUMMARY,ASSOCIATED_WR_TO_INV
2292,7/23/2012,Field,,,1,3,7430,Marin,,,37.9903,-122.612,UN000283 665,Y,6990,Marin,,Cascade Creek,37.9905,-122.6121,S022999 01,,423,Marin,Unnamed stream,San Anselmo Creek,37.9904,-122.6119,D032010 01,,4146,Unauthorized Diversion,7/23/2012,4/2/2013,2,ENF00541,Notification of Violations and Voluntary Compliance,10/17/2013,Kathy Bare,Water Rights - Enforcement,,,Unauthorized Reservoir.  Initial Statement and Small Domestic Registration submitted,"D032010,UN000283,S022999"
2293,9/7/2010,Office,,,1,2,5563,Nevada,,,39.0531,-121.1446,A031859 1,Y,6074,Nevada,,,39.05310427,-121.14464059,A030973 01,,,,,,,,,,3319,Compliance,9/7/2010,10/20/2010,1,ENF00092,Notification of Violations and Voluntary Compliance,10/20/2010,John Collins,Water Rights - Enforcement,,,Desk investigation - New penstock constructed for threat of unauthorized diversion.  Permittee agrees to file new application and provide proof that no unauthorized diversions have occurred.,"A031859,A030973"
2294,12/22/2003,Office,12/22/2003,,1,1,4145,Napa,Cyrus Creek,,38.5686671,-122.60406899,A021442 01,Y,,,,,,,,,,,,,,,,,8281,Revocation - Statutory,12/22/2003,12/22/2003,1,ENF01967,Revocation - Statutory,8/5/2004,Former  Staff,Water Rights - Enforcement,,,STATUTORY : Moved from A021442P003852 Old number 21442P031222,A021442
2295,6/26/2004,Office,6/26/2004,,1,2,567,Contra Costa,Unnamed stream,San Leandro Creek,37.829,-122.1599,A003408 2,Y,1050,Contra Costa,Unnamed stream,,37.82854241,-122.16032887,A003408 01,,,,,,,,,,8282,Revocation - Statutory,6/26/2004,6/26/2004,0,ENF01968,Revocation - Statutory,10/22/2008,Former  Staff,Water Rights - Enforcement,,,PLM - 1-5-05 - JO wants to change to a statutory revocation due to uncertainty regarding who now owns the POU - Statutory drafted 1-5-05. NPR sent out 8/3/05. : Moved from A003408P003854 Old number 3408P040626,A003408
2296,4/12/2005,Office,4/12/2005,,1,1,2778,Del Norte,Scott Creek,,41.84669948,-124.12183073,A013373 01,Y,,,,,,,,,,,,,,,,,8283,Revocation - Statutory,4/12/2005,4/12/2005,0,ENF01969,Revocation - Statutory,10/27/2007,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION - Property changed hands and Division never informed.  Issued NPR because no record of water use.  Report of Licensee submitted by new owner showing use for 2004 to 2006 wasn't in the file when 2008 NPR issued.  Licensee paid the fees 2005 to 2008.  Cancelling revocation action.  : Moved from A013373P004527 Old number 13373P050412,A013373
2297,3/4/2005,Office,3/4/2005,,1,1,6596,San Bernardino,Unnamed spring,,35.38435329,-117.53694447,A026603 01,Y,,,,,,,,,,,,,,,,,8284,Revocation - Statutory,3/4/2005,3/4/2005,1,ENF01970,Revocation - Statutory,4/19/2005,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION INITIATED BY CAR : Moved from A026603P004529 Old number 26603P050304,A026603
2298,4/14/2005,Office,4/14/2005,,1,1,2283,Trinity,Unnamed stream,,40.6041861,-123.29306668,A012435 01,Y,,,,,,,,,,,,,,,,,8285,Revocation - Statutory,4/14/2005,4/14/2005,1,ENF01971,Revocation - Statutory,8/24/2005,Former  Staff,Water Rights - Enforcement,,,STATUTORY - NPR WENT OUT-NO HEARING REQUEST - PREPARING FINAL ORDER 7-11-05 : Moved from A012435P004542 Old number 12435P050414,A012435
2299,8/25/2006,Office,8/25/2006,,1,3,104,Solano,Sacramento River,,38.17272117,-121.67498401,A028480 01,Y,1036,Solano,Sacramento River,,38.15875185,-121.68739282,A028480 03,,955,Solano,Sacramento River,,38.15491433,-121.68984374,A028480 02,,8286,Revocation - Statutory,8/25/2006,8/25/2006,1,ENF01972,Revocation - Statutory,4/27/2007,Former  Staff,Water Rights - Enforcement,,,ISSUED NOTICE OF PROPOSED REVOCATION 8/25/06.  NO HEARING NEEDED. PREPARED ORDER OF REVOCATION.  ADDED TO DATABASE : Moved from A028480P004582 Old number 28480P060825,A028480
2300,1/9/2007,Office,1/9/2007,,1,1,396,Sonoma,,,38.59556882,-122.86585201,A024924A 01,Y,,,,,,,,,,,,,,,,,8287,Revocation - Statutory,1/9/2007,1/9/2007,1,ENF01973,Revocation - Statutory,4/4/2007,Former  Staff,Water Rights - Enforcement,,, : Moved from A024924AP004608 Old number 24924AP070109,A024924A
2301,1/9/2007,Office,1/9/2007,,1,1,835,Sonoma,,,38.59556882,-122.86585201,A024924B 01,Y,,,,,,,,,,,,,,,,,8288,Revocation - Statutory,1/9/2007,1/9/2007,1,ENF01974,Revocation - Statutory,4/4/2007,Former  Staff,Water Rights - Enforcement,,, : Moved from A024924BP004609 Old number 24924BP070109,A024924B
2302,8/11/2006,Office,8/11/2006,,1,1,1432,Inyo,Unnamed spring,,36.17522979,-118.01395694,A016741 01,Y,,,,,,,,,,,,,,,,,8289,Revocation - Statutory,8/11/2006,8/11/2006,1,ENF01975,Revocation - Statutory,7/1/2008,Former  Staff,Water Rights - Enforcement,,,Updated petition status because ewrims already switched to revoked.  : Moved from A016741P004695 Old number 16741P060811,A016741
2303,8/1/2006,Office,8/1/2006,,1,1,4777,Inyo,Barrel Springs,,36.89131569,-118.07422482,A011072 01,Y,,,,,,,,,,,,,,,,,8290,Revocation - Statutory,8/1/2006,8/1/2006,1,ENF01976,Revocation - Statutory,1/2/2008,Former  Staff,Water Rights - Enforcement,,,NO CHALLENGE TO NOTICE OF PROPOSED REVOCATION ON 5-25-07. SENT CERTIFIED AND REGULAR MAIL.  PREPARING FINAL ORDER OF REVOCATION 7/25/07 : Moved from A011072P004725 Old number 11072P060801,A011072
2304,9/25/2006,Office,9/25/2006,,1,1,2640,Siskiyou,Unnamed spring,,41.86838011,-123.31802128,D029741R 01,Y,,,,,,,,,,,,,,,,,8291,Revocation - Statutory,9/25/2006,9/25/2006,1,ENF01977,Revocation - Statutory,9/25/2006,Former  Staff,Water Rights - Enforcement,,, : Moved from D029741P004728 Old number 29741P060925,D029741
2305,2/22/2001,Office,2/22/2001,,1,1,6110,Sonoma,Unnamed stream,,38.62012764,-122.89896928,D031151R 01,Y,,,,,,,,,,,,,,,,,8292,Revocation - Statutory,2/22/2001,2/22/2001,1,ENF01978,Revocation - Statutory,12/11/2006,Former  Staff,Water Rights - Enforcement,,,Draft certified letter prepared. Needs senior review.  Transferred to SRH to distribute in Permitting for finalization.  (CKW 12/8/06) Revocation Order Issued 12-11-06 SRH : Moved from D031151P004738 Old number 31151RP010222,D031151
2306,12/11/2006,Office,12/11/2006,,1,1,5128,Santa Clara,Penitencia Creek,,37.40277822,-121.76402582,D029804R 01,Y,,,,,,,,,,,,,,,,,8293,Revocation - Statutory,12/11/2006,12/11/2006,1,ENF01979,Revocation - Statutory,1/26/2007,Former  Staff,Water Rights - Enforcement,,,Draft ltr revoking SDU registration prepared 8/18/06 by YM.  Needs senior reivew.  Transferred to SRH for distribution in Permitting. (CKW 12/11/06) : Moved from D029804P004739 Old number 29804RP902108,D029804
2307,8/10/2006,Office,8/10/2006,,1,1,6829,Monterey,Unnamed stream,,35.81795971,-120.9724718,D031167R 01,Y,,,,,,,,,,,,,,,,,8294,Revocation - Statutory,8/10/2006,8/10/2006,1,ENF01980,Revocation - Statutory,1/26/2007,Former  Staff,Water Rights - Enforcement,,, : Moved from D031167P004741 Old number 31167RP010321,D031167
2308,2/9/2006,Office,2/9/2006,,1,1,884,Contra Costa,,,37.78539993,-121.89668058,D031121R 01,Y,,,,,,,,,,,,,,,,,8295,Revocation - Statutory,2/9/2006,2/9/2006,1,ENF01981,Revocation - Statutory,2/2/2007,Former  Staff,Water Rights - Enforcement,,,Draft ltr prepared 4/11/06 by YM. Needs senior review. Transferred to SRH for distribution in Permitting. (CKW 12/11/06) : Moved from D031121P004743 Old number 31121RP001228,D031121
2309,4/14/2006,Office,4/14/2006,,1,1,2551,Shasta,Unnamed stream,,40.40053204,-122.98979408,D031145R 01,Y,,,,,,,,,,,,,,,,,8296,Revocation - Statutory,4/14/2006,4/14/2006,1,ENF01982,Revocation - Statutory,10/10/2007,Former  Staff,Water Rights - Enforcement,,,Draft ltr & NPR prepared 4/14/06 by YM. Needs senior review. Transferred to SRH for distribution in Permitting. (CKW 12/11/06) : Moved from D031145P004744 Old number 31145RP060414,D031145
2310,3/8/2006,Office,3/8/2006,,1,1,4310,Sonoma,Unnamed stream,,38.73589579,-122.96667351,D031142R 01,Y,,,,,,,,,,,,,,,,,8297,Revocation - Statutory,3/8/2006,3/8/2006,1,ENF01983,Revocation - Statutory,10/18/2007,Former  Staff,Water Rights - Enforcement,,,Draft ltr & NPR prepared 3/8/06 by YM. Needs senior review. Transferred to SRH for distribution in Permitting. (CKW 12/11/06) : Moved from D031142P004745 Old number 31142RP060308,D031142
2311,11/23/2004,Office,11/23/2004,,1,2,2078,Butte,,,39.72648699,-121.57250181,D030958R 01,Y,2079,Butte,Unnamed spring,,39.72648764,-121.57267957,D030958R 01,,,,,,,,,,8298,Revocation - Statutory,11/23/2004,11/23/2004,1,ENF01984,Revocation - Statutory,1/26/2007,Former  Staff,Water Rights - Enforcement,,,Draft ltr prepared 6/8/06 by YM. Needs senior review. Transferred to SRH for distribution in Permitting. (CKW 12/12/06) : Moved from D030958P004746 Old number 30958RP991014,D030958
2312,7/27/2006,Office,7/27/2006,,1,1,4306,Contra Costa,,,37.84319914,-121.8981142,D031127R 01,Y,,,,,,,,,,,,,,,,,8299,Revocation - Statutory,7/27/2006,7/27/2006,1,ENF01985,Revocation - Statutory,2/14/2007,Former  Staff,Water Rights - Enforcement,,,Draft ltr prepared 7/27/06 by YM. Needs senior review. Transferred to SRH for distribution in Permitting. (CKW 12/12/06).  Revoked per Wat. Code sec 1228.5(d) failure to pay fees and failure to respond (two requests) : Moved from D031127P004750 Old number 31127RP010116,D031127
2313,7/27/2006,Office,7/27/2006,,1,1,885,Contra Costa,Unnamed stream,,37.78646144,-121.89981534,D031132R 01,Y,,,,,,,,,,,,,,,,,8300,Revocation - Statutory,7/27/2006,7/27/2006,1,ENF01986,Revocation - Statutory,2/13/2007,Former  Staff,Water Rights - Enforcement,,,Draft ltr prepared 7/27/06 by YM. CKW referred to SRH 12/12/06.  Revocation issued 02/13/2007 : Moved from D031132P004751 Old number 31132RP010116,D031132
2314,4/26/2001,Office,4/26/2001,,1,1,327,Trinity,Trinity River,,40.70855154,-122.80720046,D031177R 01,Y,,,,,,,,,,,,,,,,,8301,Revocation - Statutory,4/26/2001,4/26/2001,1,ENF01987,Revocation - Statutory,3/9/2007,Former  Staff,Water Rights - Enforcement,,, : Moved from D031177P004752 Old number 31177RP010426,D031177
2315,7/25/2006,Office,7/25/2006,,1,1,4801,Stanislaus,Dunn Creek,,37.64721879,-120.40829936,L031210 01,Y,,,,,,,,,,,,,,,,,8302,Revocation - Statutory,7/25/2006,7/25/2006,1,ENF01988,Revocation - Statutory,8/20/2008,Former  Staff,Water Rights - Enforcement,,,Revoked 8/20/08.  Petition not closed.  Closed 1/8/09. kdm : Moved from L031210P004753 Old number 31210P060725,L031210
2316,1/23/2007,Office,1/23/2007,,1,1,6217,El Dorado,Unnamed stream,,38.53325406,-120.97152665,A029160 01,Y,,,,,,,,,,,,,,,,,8303,Revocation - Statutory,1/23/2007,1/23/2007,1,ENF01989,Revocation - Statutory,6/19/2008,Former  Staff,Water Rights - Enforcement,,,"TIME EXTENSION DENIED 12-26-06, REVOKING WATER RIGHT KDM : Moved from A029160P004763 Old number 29160P070123",A029160
2317,7/28/2006,Office,7/28/2006,,1,1,6474,Napa,Unnamed stream,,38.52154739,-122.38468821,D029834R 01,Y,,,,,,,,,,,,,,,,,8304,Revocation - Statutory,7/28/2006,7/28/2006,1,ENF01990,Revocation - Statutory,3/2/2007,Former  Staff,Water Rights - Enforcement,,,Drft ltr & order prepard 7/28/06 by YM. Refered to OCC for review 02-13-07. Revocation due to failure to construct & put water to use since 1990. : Moved from D029834P004748 Old number 29834RP901004,D029834
2318,7/6/2004,Office,7/6/2004,,1,1,1410,San Bernardino,,,35.14084808,-116.1032674,A010888 01,Y,,,,,,,,,,,,,,,,,8305,Revocation - Statutory,7/6/2004,7/6/2004,1,ENF01991,Revocation - Statutory,9/27/2004,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION : Moved from A010888P004246 Old number 10888P040706,A010888
2319,1/25/2006,Office,1/25/2006,,1,1,4180,Santa Cruz,Zayante Creek,,37.14662838,-122.0196316,D031079R 01,Y,,,,,,,,,,,,,,,,,8306,Revocation - Statutory,1/25/2006,1/25/2006,1,ENF01992,Revocation - Statutory,3/16/2007,Former  Staff,Water Rights - Enforcement,,,Staff initiated revocation process due to nonuse - 1/25/06. (CKW 2/17/06)  CKW referred to srh 12-8-06.  To VAW for sign 12-11-06 : Moved from D031079P004352 Old number 31079RP060125,D031079
2320,6/9/2006,Office,6/9/2006,,1,1,6450,El Dorado,,,38.90578402,-120.89970106,A021733 01,Y,,,,,,,,,,,,,,,,,8307,Revocation - Statutory,6/9/2006,6/9/2006,1,ENF01993,Revocation - Statutory,1/24/2008,Former  Staff,Water Rights - Enforcement,,,"STATUTORY REVOCATION.  OWNER DECEASED. THIS IS A BLM MINING CLAIM.  BLM IS NOT LISTING ANY OTHER CLAIMANT ON THE CLAIM. NPR ISSUED - NO HEARING REQUESTED.  PREPARING FINAL ORDER.

8/31/2005, No revocation request in file.  Owner confused about water right issues. Staff advised her. kdm

12/14/1992, Ms. Schambach initially filed a Revocation Request inadvertently and later decided she wanted to continue holding the water right. Continued water use. : Moved from A021733P004382 Old number 21733P060609",A021733
2321,6/15/2006,Office,6/15/2006,,1,1,6651,San Bernardino,Unnamed spring,,34.25232115,-116.68047795,A011297 01,Y,,,,,,,,,,,,,,,,,8308,Revocation - Statutory,6/15/2006,6/15/2006,1,ENF01994,Revocation - Statutory,6/5/2008,Former  Staff,Water Rights - Enforcement,,,STATUTORY - REFERRED BY JO - NPR to management 11/7/06. kdm  - No request for hearing after NPR issued.  Final order sent for signature 5/9/07. : Moved from A011297P004385 Old number 11297P060615,A011297
2322,6/29/2006,Office,6/29/2006,,1,1,2440,Glenn,Butte Creek,,39.5018031,-121.87829213,A015017 01,Y,,,,,,,,,,,,,,,,,8309,Revocation - Statutory,6/29/2006,6/29/2006,1,ENF01995,Revocation - Statutory,7/14/2008,Former  Staff,Water Rights - Enforcement,,,STATUTORY - NO WATER USE SINCE 1994 : Moved from A015017P004390 Old number 15017P060629,A015017
2323,6/29/2006,Office,6/29/2006,,1,1,2441,Glenn,Butte Creek,,39.5018031,-121.87829213,A015406 01,Y,,,,,,,,,,,,,,,,,8310,Revocation - Statutory,6/29/2006,6/29/2006,1,ENF01996,Revocation - Statutory,7/14/2008,Former  Staff,Water Rights - Enforcement,,,STATUTORY - NO WATER USE SINCE 1994 : Moved from A015406P004392 Old number 15406P060629,A015406
2324,8/25/2005,Office,8/25/2005,,1,1,6437,Yolo,Sacramento River,,38.42622492,-121.53263446,A008292 01,Y,,,,,,,,,,,,,,,,,8311,Revocation - Statutory,8/25/2005,8/25/2005,1,ENF01997,Revocation - Statutory,12/8/2006,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION : Moved from A008292P004400 Old number 8292P050825,A008292
2325,8/25/2005,Office,8/25/2005,,1,1,6436,Yolo,Sacramento River,,38.42622492,-121.53263446,A009220 01,Y,,,,,,,,,,,,,,,,,8312,Revocation - Statutory,8/25/2005,8/25/2005,1,ENF01998,Revocation - Statutory,12/8/2006,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION : Moved from A009220P004401 Old number 9220P050825,A009220
2326,7/25/2006,Office,7/25/2006,,1,1,5487,Plumas,Unnamed spring,,39.80016238,-120.68072332,A022313 01,Y,,,,,,,,,,,,,,,,,8313,Revocation - Statutory,7/25/2006,7/25/2006,1,ENF01999,Revocation - Statutory,12/26/2007,Former  Staff,Water Rights - Enforcement,,,STATUTORY - no response to Notice of Proposed Revocation - sending final order for signature. : Moved from A022313P004408 Old number 22313P060725,A022313
2327,4/25/2006,Office,4/25/2006,,1,1,500,Trinity,Unnamed stream,,40.82280984,-123.12710465,A011489 01,Y,,,,,,,,,,,,,,,,,8314,Revocation - Statutory,4/25/2006,4/25/2006,0,ENF02000,Revocation - Statutory,7/11/2008,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION.  WE HAVEN'T BEEN CHARGING FEES BECAUSE UNABLE TO LOCATE CURRENT OWNER.  USFS LAND - MINING CLAIM.  : Moved from A011489P004428 Old number 11489P060425,A011489
2328,4/27/2006,Office,4/27/2006,,1,1,2961,Siskiyou,Shasta River,,41.56264787,-122.41001294,A026306 01,Y,,,,,,,,,,,,,,,,,8315,Revocation - Statutory,4/27/2006,4/27/2006,1,ENF02001,Revocation - Statutory,8/3/2009,Former  Staff,Water Rights - Enforcement,,,"STATUTORY REVOCATION - NO WATER USE
Requested hearing  1/30/2008 : Moved from A026306P004429 Old number 26306P060427",A026306
2329,4/27/2006,Office,4/27/2006,,1,1,6633,Los Angeles,San Dimas Canyon,,34.14546648,-117.77666798,A001483 01,Y,,,,,,,,,,,,,,,,,8316,Revocation - Statutory,4/27/2006,4/27/2006,0,ENF02002,Revocation - Statutory,3/30/2009,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION. - NPR issued 8-13-07.  Hearing requested. Resolved by settlement agreement - right partially voluntarily revoked.  Will issue amended license when change petition processed.   : Moved from A001483P004436 Old number 1483P060427,A001483
2330,2/17/2005,Office,2/17/2005,,1,1,2273,Lassen,Unnamed stream,,41.09857742,-121.20463846,A023541 01,Y,,,,,,,,,,,,,,,,,8317,Revocation - Statutory,2/17/2005,2/17/2005,1,ENF02003,Revocation - Statutory,9/12/2008,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION : Moved from A023541P004449 Old number 23541P050217,A023541
2331,5/26/2006,Office,5/26/2006,,1,1,2848,Siskiyou,Long Gulch,,41.13023329,-123.08749888,A024118 01,Y,,,,,,,,,,,,,,,,,8318,Revocation - Statutory,5/26/2006,5/26/2006,1,ENF02004,Revocation - Statutory,5/26/2006,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION - CABIN ON USFS LAND TORN DOWN 10 YEARS AGO. : Moved from A024118P004452 Old number 24118P060526,A024118
2332,6/9/2006,Office,6/9/2006,,1,1,6570,Orange,Trabuco Creek,,33.67443968,-117.53604485,A006720 01,Y,,,,,,,,,,,,,,,,,8319,Revocation - Statutory,6/9/2006,6/9/2006,1,ENF02005,Revocation - Statutory,8/20/2008,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION - PLACE OF USE IS NOW SUBDIVISION : Moved from A006720P004457 Old number 6720P060609,A006720
2333,10/26/2004,Office,10/26/2004,,1,1,6892,Sonoma,Unnamed stream,,38.56817529,-122.66877188,D030743R 01,Y,,,,,,,,,,,,,,,,,8320,Revocation - Statutory,10/26/2004,10/26/2004,1,ENF02006,Revocation - Statutory,11/17/2005,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION : Moved from D030743P004468 Old number 30743RP041026,D030743
2334,7/6/2000,Office,7/6/2000,,1,1,1448,Inyo,,,35.8593294,-117.09592974,A026173 01,Y,,,,,,,,,,,,,,,,,8321,Revocation - Statutory,7/6/2000,7/6/2000,1,ENF02007,Revocation - Statutory,5/13/2004,Former  Staff,Water Rights - Enforcement,,,MOU executed 12/3/02 for prep of CEQA doc.Permittee failed to perform under MOU;MOU terminated.Time Ext Petition to be denied and Permit revoked.NOPR issued 11/29/03. Permit revoked 5/13/04. : Moved from A026173P003177 Old number 26173P000706,A026173
2335,12/25/1999,Office,12/25/1999,,1,1,7212,Inyo,Birch Creek,,37.31574342,-118.53572763,A025772 01,Y,,,,,,,,,,,,,,,,,8322,Revocation - Statutory,12/25/1999,12/25/1999,1,ENF02008,Revocation - Statutory,7/12/2000,Former  Staff,Water Rights - Enforcement,,,STATUTORY REVOCATION : Moved from A025772P002719 Old number 25772P991225,A025772
2336,2/19/1990,Office,2/19/1990,,1,1,3611,El Dorado,Cold Stream,,38.80972339,-120.09670106,A009859 01,Y,,,,,,,,,,,,,,,,,8323,Revocation - Statutory,2/19/1990,2/19/1990,1,ENF02009,Revocation - Statutory,6/25/2001,Former  Staff,Water Rights - Enforcement,,,STATUTORY NOTICE OF PROPOSED REVOCATION NEEDED.  THEN REVOKE : Moved from A009859P002826 Old number 09859P99021,A009859
2337,11/29/1999,Office,11/29/1999,,1,1,1311,San Joaquin,Mokelumne River,,38.22572312,-121.02285632,A005957 01,Y,,,,,,,,,,,,,,,,,8324,Revocation - Statutory,11/29/1999,11/29/1999,1,ENF02010,Revocation - Statutory,6/2/2000,Former  Staff,Water Rights - Enforcement,,,"STATUTORY REVOCATION,  LICENSEE HAS NOT USED WATER SINCE 1990, BY OWN ADMISSION. : Moved from A005957P002827 Old number 05957P991129",A005957
2338,4/27/2006,Office,4/27/2006,,1,1,2638,Siskiyou,Shasta River,,41.56437863,-122.42482345,A026307 01,Y,,,,,,,,,,,,,,,,,8325,Revocation - Statutory,4/27/2006,4/27/2006,1,ENF02011,Revocation - Statutory,8/3/2009,Former  Staff,Water Rights - Enforcement,,,Statutory revocation  : Moved from A026307P005401 Old number 26307P060427,A026307
2339,6/5/2008,Office,6/5/2008,,1,1,2881,Trinity,Grass Valley Creek,,40.68743288,-122.86101057,A022401 01,Y,,,,,,,,,,,,,,,,,8326,Revocation - Statutory,6/5/2008,6/5/2008,1,ENF02012,Revocation - Statutory,6/13/2008,Former  Staff,Water Rights - Enforcement,,,"NPR issued, no hearing requested.  

12/31/2005, RESENT REVOCATION REQUEST DATED 2/8/05.  MULTIPLE OWNERS ON THE RIGHT.  NO ACTION REQUIRED BECAUSE SHE WAS ALREADY TAKEN OFF THE RIGHT.  FEES MIX-UP.    KDM

02/08/2005, CL - ONLY ONE OF SEVERAL LICENSEES REQUESTED REVOCATION.  THIS IS AN ESTATE.  ASSIGNED RIGHT TO REMAINING PARTIES IN ESTATE.  KDM 4/12/05 : Moved from A022401P006529 Old number 22401P080605",A022401
2340,1/24/2008,Office,1/24/2008,,1,2,7036,El Dorado,Knickerbocker Creek,,38.87159238,-121.03863541,A018723 01,Y,3654,Placer,North Fork American River,,38.87034642,-121.05410798,A018723 01,,,,,,,,,,8327,Revocation - Statutory,1/24/2008,1/24/2008,1,ENF02013,Revocation - Statutory,12/2/2008,Former  Staff,Water Rights - Enforcement,,, : Moved from A018723P007350 Old number 18723P080124,A018723
2341,1/24/2008,Office,1/24/2008,,1,2,3656,Placer,North Fork American River,,38.87034642,-121.05410798,A021637 01,Y,443,El Dorado,Knickerbocker Creek,,38.87159238,-121.03863541,A021637 01,,,,,,,,,,8328,Revocation - Statutory,1/24/2008,1/24/2008,1,ENF02014,Revocation - Statutory,12/2/2008,Former  Staff,Water Rights - Enforcement,,, : Moved from A021637P007352 Old number 21637P080124,A021637
2342,1/28/2008,Office,1/28/2008,,1,2,744,Marin,Unnamed stream,,38.09792244,-122.76900469,A029027 01,Y,6735,Marin,Unnamed stream,,38.0975173,-122.76864465,A029027 01,,,,,,,,,,8329,Revocation - Statutory,1/28/2008,1/28/2008,1,ENF02015,Revocation - Statutory,3/13/2009,Former  Staff,Water Rights - Enforcement,,,Statutory revocation.  Revocation order issued 3/13/09 - copy of order attached on permit page.  : Moved from A029027P005462 Old number 29027P080128,A029027
2343,1/25/2008,Office,1/25/2008,,1,1,882,San Joaquin,Old River,,37.79053635,-121.51503234,A000301 01,Y,,,,,,,,,,,,,,,,,8330,Revocation - Statutory,1/25/2008,1/25/2008,1,ENF02016,Revocation - Statutory,3/11/2010,Former  Staff,Water Rights - Enforcement,,,Proposed partial revocation - hearing requested - Settlement Agreement adopted : Moved from A000301P007551 Old number A000301P080125,A000301
2344,1/24/2008,Office,1/24/2008,,1,2,3657,El Dorado,Knickerbocker Creek,,38.87159238,-121.03863541,A018721 01,Y,7255,Placer,North Fork American River,,38.87034642,-121.05410798,A018721 01,,,,,,,,,,8331,Revocation - Statutory,1/24/2008,1/24/2008,1,ENF02017,Revocation - Statutory,12/2/2008,Former  Staff,Water Rights - Enforcement,,, : Moved from A018721P007349 Old number 18721P080124,A018721
2345,1/24/2008,Office,1/24/2008,,1,2,3658,El Dorado,Knickerbocker Creek,,38.87159238,-121.03863541,A021636 01,Y,3655,Placer,North Fork American River,,38.87034642,-121.05410798,A021636 01,,,,,,,,,,8332,Revocation - Statutory,1/24/2008,1/24/2008,1,ENF02018,Revocation - Statutory,12/2/2008,Former  Staff,Water Rights - Enforcement,,, : Moved from A021636P007351 Old number 21636P080124,A021636
2346,1/28/2008,Office,1/28/2008,,1,1,3319,Colusa,Unnamed stream,,38.99848834,-122.15379456,A027659 01,Y,,,,,,,,,,,,,,,,,8333,Revocation - Statutory,1/28/2008,1/28/2008,1,ENF02019,Revocation - Statutory,3/30/2009,Former  Staff,Water Rights - Enforcement,,,Statutory revocation order issued 3/30/09 -SMc : Moved from A027659P007806 Old number 27659P012808,A027659
2347,11/19/2010,Office,11/19/2010,,1,1,6463,Sonoma,Dry Creek,,38.68143074,-122.94764735,A024203 01,Y,,,,,,,,,,,,,,,,,8334,Revocation - Statutory,11/19/2010,11/19/2010,1,ENF02020,Revocation - Statutory,11/19/2010,Former  Staff,Water Rights - Enforcement,,,Statutory revocation of A024203 : Moved from A024203P009780 Old number A024203P101119,A024203
2348,3/5/2007,Office,3/5/2007,,1,2,4739,San Mateo,Whitehouse Creek,,37.16746965,-122.32039619,A025656 01,Y,7369,San Mateo,Unnamed stream,,37.16405686,-122.32786468,A025656 01,,,,,,,,,,8335,Revocation - Statutory,3/5/2007,3/5/2007,1,ENF02021,Revocation - Statutory,7/7/2009,Former  Staff,Water Rights - Enforcement,,,Statutory Revocation : Moved from A025656P006450 Old number 25656P070305,A025656
2349,2/26/2016,Field,3/10/2017,APN; 029-530-012-000 Shasta,2,,,,,,,,,,,,,,,,,,,,,,,,,,8336,Cannabis,2/26/2016,,2,,,,Skyler  Anderson,Water Rights - Enforcement,2015 Drought,,"Joint effort with DFW, and Regional Board to investigate environmental crimes caused by non permitted grading in and along water ways and water storage reservoirs.  Warrant Inspection conducted on February 26, 2016.",UN001039
